W,H,S,E,Z,
8.5536629,2.9880325,2.5008099,7.4468762,60.6633519,
7.9891836,6.3500000,2.0000000,7.9334854,49.9735208,
4.1147628,6.3500000,2.0000000,4.8820158,73.4095603,
0.8548896,1.9065086,0.2941943,5.8566240,59.9669987,
1.6283497,8.6560685,9.0888571,5.5219418,143.2203814,
9.0964798,3.6904279,7.9254764,7.9742512,90.2138755,
4.4392377,6.3500000,2.0000000,5.9953048,65.9790556,
3.1820806,1.9078462,6.6936253,6.2263914,131.5735133,
4.7730645,2.4861779,8.2455933,3.1718427,150.2155119,
9.0769909,6.6453739,5.8231903,6.7009519,76.2870598,
6.0000000,5.8587617,2.0000000,4.1814889,70.3619039,
8.7707763,8.7427781,5.0076985,8.6535418,63.0983812,
3.9087170,2.9913457,1.6017106,3.4813688,82.2435797,
6.4491468,3.6650920,3.1284199,1.8317277,108.1524384,
9.1309859,4.1638055,0.2469221,9.9895156,25.3219904,
6.0068841,3.3968954,2.2749869,6.1206373,66.9940201,
6.4083078,2.7110954,9.5398921,7.0875290,117.1916702,
3.4323138,4.3152056,8.4821210,7.8522829,111.8756872,
2.0160832,6.3500000,2.0000000,2.8485359,112.0514995,
0.1150128,0.3295901,1.3868048,7.1261602,180.8685395,
3.8766766,8.4659743,8.1473808,4.9140009,118.0882054,
0.6716689,5.1338687,7.6521430,5.1096224,175.6568442,
3.4462530,6.3537092,6.0075009,7.6520583,93.8123058,
4.0477716,4.0525801,9.9878621,9.7821054,107.2060737,
8.6031126,2.2360039,5.4662341,2.9695043,113.3346597,
1.5578278,9.9086085,1.4630044,9.8985417,65.1133108,
1.3142135,0.3897932,1.9407198,8.2034661,120.2242385,
0.5403206,2.7063044,9.4904592,4.6800674,216.6892096,
2.3136126,6.3019366,2.2051597,7.5139769,75.0770767,
2.5584764,8.7879308,3.0520423,5.7294253,90.1193537,
6.1702692,3.5699662,6.3146416,5.7431907,101.2434556,
4.5450864,3.6289068,0.4181530,5.2713316,43.5469257,
9.5916060,6.3500000,2.0000000,2.1196761,77.9195831,
7.5004364,3.0104172,6.3159358,7.9866234,89.0462474,
0.7151485,2.1218586,4.4703902,6.0294326,152.1599405,
4.3285756,6.3500000,2.0000000,9.4831848,54.4969814,
9.3060853,4.8757126,0.2845706,6.4748754,31.0746151,
2.9558831,0.2429540,4.8237107,1.8274448,179.2379602,
4.0533183,7.2506373,9.8215019,9.8550891,95.3159122,
8.4457073,3.1666686,3.7441403,5.2843090,79.9339518,
0.4062016,3.0401037,2.5981917,2.9960259,184.8163904,
2.2134249,5.2347372,5.6578928,3.6302768,140.3633178,
5.6191424,9.7050635,6.9610295,8.8526110,78.5031419,
5.9640078,9.5047736,0.8892668,6.7211079,44.0451304,
3.9642012,0.7892417,7.1254121,2.1333772,175.0565239,
6.1045860,7.0846118,9.2578614,5.9456263,104.5391598,
3.1532152,8.8820938,4.5536393,8.4641371,81.6018120,
1.6643456,4.3932365,8.5989076,7.5604339,132.4867511,
9.9004217,6.9041761,9.3593831,7.7478227,84.7650927,
8.6128972,8.1210986,9.3880125,4.9712714,101.4373668,
7.2287947,1.9151202,2.4007397,7.7534170,66.1032693,
6.7683823,9.9572619,2.3944474,6.9142795,57.1976282,
9.1932799,6.3500000,2.0000000,2.5161250,74.7035006,
8.4811945,1.9264293,3.3529949,4.2429967,88.0855007,
0.9134386,7.5478967,1.6630561,6.9930085,92.9091469,
7.2254712,7.8864740,3.3292552,2.8160709,90.1492362,
1.9455584,6.9723227,5.9692167,5.4064087,123.9235442,
6.0000000,3.9525065,2.0000000,9.3170929,52.6603521,
3.7809836,6.3404381,5.2679830,1.2245782,163.3991033,
2.5688331,1.9028884,3.0427698,9.5614265,84.5551931,
1.8030970,7.8395197,9.3274081,5.1695243,145.9488113,
6.8570231,5.7360590,7.6850163,4.0769610,111.7107603,
5.1468165,6.6767052,4.2364738,8.2022730,71.8922794,
1.2827014,1.4140006,9.4224094,1.9273906,245.3742352,
0.9087756,1.1297577,8.8763446,3.4218577,238.4941406,
9.0110930,7.7733529,1.9097723,7.2347006,48.8668709,
1.8180727,3.8489690,8.2210202,1.6394546,213.8059283,
4.5315301,5.6514216,6.7343386,3.5092971,124.7266648,
4.6849783,7.5591705,7.3960590,9.5405146,83.5679408,
5.1604657,9.5915067,7.3718254,6.4762080,93.7306648,
6.3302578,2.7028556,2.6291287,2.2801280,98.7561047,
0.6206310,6.4607416,1.4770473,2.9763500,141.8347645,
8.1054664,1.0232725,2.1469928,9.7689812,64.3474605,
6.4975919,5.5286782,0.6754679,8.5002741,36.6905693,
4.6979554,9.8326587,2.9472961,8.4764625,62.5199745,
5.9689967,6.0245330,3.1678638,2.7279875,96.0321136,
5.1434029,6.3500000,2.0000000,3.9098573,75.0774769,
4.1860051,1.0967142,0.5463061,3.1348823,63.6675857,
9.4626427,7.6362553,2.8893647,2.7162180,80.7080026,
2.4927852,6.3500000,2.0000000,6.4284521,76.0273709,
8.1853228,9.9387140,7.7088096,9.0442642,72.9688148,
0.8110939,5.5280908,6.4606858,4.4160461,170.1278647,
4.6134938,4.2396686,9.4437714,7.3743416,112.7115525,
3.5972881,2.9615251,2.2850299,7.4109506,71.7537693,
3.5396572,5.9276667,2.3775176,6.0086738,74.9530326,
9.0659751,5.6435576,2.9401362,8.8478995,53.7072919,
9.1115763,7.1031376,2.0664473,5.5812409,56.0851091,
0.1599069,6.6967836,7.9531795,9.2789713,172.7047013,
6.5302225,8.8126694,1.0706890,1.6005556,77.4832757,
8.0577501,0.8999412,3.2808974,9.9051439,79.1156243,
4.2962258,6.4318799,5.7225996,3.5244203,117.9347039,
2.2966648,7.8923371,1.0501574,2.0826507,97.3131845,
4.1820131,4.7416126,9.3803994,5.5698015,124.9441692,
1.3428387,8.5942150,4.0966359,4.4474036,130.8896664,
1.4098101,9.6361449,3.1975387,3.5474721,131.4094311,
8.3585675,7.7823671,2.4217321,9.0206016,49.0006145,
7.8475372,1.5008908,9.6292204,6.6303678,127.9836637,
5.6918365,5.7525899,1.8968233,7.9589292,53.9236539,
9.1964067,6.3500000,2.0000000,2.6457449,73.4833039,
8.9425141,8.9435265,9.6734401,9.3944102,77.7755402,
9.2282430,6.8716886,2.9377625,4.9794729,66.0982886,
7.5930454,2.1939303,4.0943439,1.4100982,121.4894910,
2.3849427,7.5908192,1.1127246,4.6260641,72.7303437,
3.7955756,8.9250708,4.6133707,4.1534385,104.6684476,
6.2856825,5.0686604,0.8678788,2.1255135,68.1671030,
0.5085668,6.3500000,2.0000000,2.1437452,182.2694920,
3.9750416,1.0922280,6.1840578,3.1748044,154.9295101,
1.7967596,1.8012099,4.0912853,4.0623476,142.5082219,
7.8493289,2.3642993,9.3626011,8.2389599,109.0860264,
5.3910657,7.7856484,3.6818616,2.1428001,111.4216444,
6.8776855,1.7489036,5.9150383,4.1452238,118.4444387,
2.1756969,0.4184663,3.8774915,1.4652050,179.9953488,
7.0069254,5.8510042,9.0617658,3.1300678,128.3147387,
8.0537117,9.2883328,3.8051362,4.0310916,79.5852840,
6.4241991,9.0663662,9.8785352,7.7585982,91.9208773,
4.0911194,3.8884784,2.0888674,5.4606279,73.6907871,
0.6310458,5.1003865,8.8258493,9.6910179,141.8749289,
0.3133572,4.5959759,6.0895826,3.5964115,219.9638573,
0.1396028,5.3780043,6.1826178,8.3660751,177.2123065,
7.5838097,5.2532363,7.2589818,9.2041651,79.6027140,
1.6707681,6.9487330,3.5731467,9.1032608,88.0135362,
5.7198427,5.0072354,3.2637962,7.7892403,66.9601340,
2.0206861,1.2141005,0.0692387,8.1527555,28.5202756,
3.0078780,6.4715072,4.2066383,1.7862146,147.1619193,
4.6647819,2.7001676,5.9635452,5.4583107,112.7745132,
9.2595422,7.6149923,2.6722678,7.5723325,53.3508010,
4.9480383,3.9567437,6.0838721,4.1491699,115.7121629,
8.1184065,1.9196955,7.0392884,2.4703831,132.6266657,
0.7963952,6.8338277,3.3293522,2.5900083,174.0709183,
5.2651496,2.4223863,7.0730548,1.5351669,159.9138467,
2.5401573,2.8842130,4.4135043,8.0379622,98.0943122,
5.8694709,1.2154770,3.4508815,8.8755409,84.5251718,
5.5807107,6.8778278,7.9943060,1.5075186,157.8486674,
5.0846008,7.1341776,7.7367501,4.8598623,110.4723390,
4.3227561,2.2217121,9.7118309,3.9142008,157.7316762,
6.9396345,1.0609122,9.2293376,6.9802139,135.6514461,
3.8528253,5.6323972,1.9618511,4.4785485,77.3800266,
7.9021018,1.5261049,3.6557686,4.9606130,91.9803891,
5.0245186,4.6587951,1.1623440,5.5759400,55.7705511,
9.7263419,3.8188751,9.3628130,2.4414186,132.4680241,
3.3567390,6.5955978,3.4552856,4.7145895,94.9736795,
9.6750524,9.5914230,3.1410026,6.8877402,56.9429130,
7.7936710,6.4954950,7.2538057,3.8351467,106.3991816,
6.1003210,6.3500000,2.0000000,2.0748936,89.1640533,
1.8015185,6.6282483,8.9336080,3.1117960,176.3146064,
6.7538519,9.5001561,0.6879183,8.5427031,35.6807655,
5.2612612,6.3137355,2.6613793,4.0250229,81.3254408,
4.5074643,2.5157143,0.7110874,3.5512338,60.8072500,
1.7324219,2.3455505,6.2216754,6.9263528,134.1750892,
6.2949051,5.3753490,6.8370918,4.9770891,102.6097630,
8.1864771,7.9040610,3.6423092,1.0793511,117.5468543,
2.9098459,6.8915237,2.7791163,1.5650722,135.3571999,
8.3016712,7.8477092,5.9559379,9.1136315,67.6747710,
7.2093981,6.3500000,2.0000000,4.7098414,63.5928574,
2.3826715,5.7085046,1.8400340,8.2007978,67.6671867,
9.0899233,2.3529932,2.2739480,3.4504218,77.3379506,
8.9167849,7.2984245,4.2328544,3.9223899,82.5879562,
2.5073412,5.9441350,5.0819584,1.7819111,164.7534577,
7.7796562,8.1345606,1.5189129,5.8642518,51.4043164,
2.4770400,8.8738626,7.5491250,9.1616097,98.8222251,
3.0978931,7.7596677,9.8745107,3.9185183,145.9935103,
7.8917222,2.9042790,3.0035695,9.6220584,60.3431228,
6.9885228,9.8543956,8.3761121,3.3253977,116.5865364,
0.1543436,2.0331217,4.1202764,8.2407328,172.6584092,
0.7814638,1.5215687,6.0552068,7.6863053,161.7566318,
6.1502254,6.8207589,2.7611380,1.1299077,116.5613478,
3.4761649,9.8553757,8.9214616,3.5636998,139.8255209,
2.0030359,5.9808977,1.4958967,7.3069023,69.9528530,
8.0577471,6.1030637,3.9416462,8.9090388,60.8126390,
3.4306109,0.4646995,0.9461564,2.0530155,94.3958033,
2.4359172,2.0970709,1.8734809,5.6461570,85.5680795,
4.4015320,1.5148572,1.6461898,5.8004904,73.3739705,
9.1728750,1.3647925,7.2182923,4.2998100,121.4709725,
6.4167911,0.7599178,8.2644752,9.7634399,130.0511130,
9.6843618,3.2658060,5.4955955,5.6304537,87.9554786,
3.5075968,2.9665763,1.7977336,7.0201884,67.4372183,
6.8659731,5.5489741,2.5257306,5.9078567,64.4806016,
9.0784323,6.3500000,2.0000000,8.9026515,46.1064407,
9.5594447,6.7038650,7.5424281,6.6521828,83.5543692,
0.6314873,2.6348003,7.0698605,3.5696924,211.6299888,
5.0294490,6.8838916,0.9998849,9.5625596,41.3162891,
7.7590259,2.6745415,1.9496359,6.2881432,61.1793883,
5.2265244,0.4405968,5.1023393,6.7532987,130.9254456,
9.6344600,9.3841369,5.1332950,1.1517368,122.7590409,
2.6342537,4.4988047,5.4137767,3.8863076,130.8346364,
7.1884195,1.8307969,0.6534954,1.4877837,69.2204505,
7.6358525,1.6247440,5.9586913,7.4015469,100.6241206,
2.4689640,3.9862010,9.3846142,7.7553886,127.1335047,
8.6831001,7.3040566,0.4235825,2.1292811,51.6300901,
7.6183775,7.1233502,5.8193431,5.0324240,88.3740401,
3.9628739,9.7737454,7.2903126,1.7821673,159.8036241,
0.9482634,8.5028543,7.6749465,9.2590790,123.2199172,
9.9167673,5.7309667,4.9926250,5.0982447,79.7488828,
3.7141208,3.3945476,1.3763789,1.4723846,102.7784221,
9.9414192,3.0166462,4.8501537,3.7849750,94.8662503,
8.4714304,8.7812037,1.4262197,1.9871604,73.3841148,
3.1782877,2.1241455,7.5311843,1.2186145,194.7058125,
5.1099704,2.5415906,1.9976726,4.0514641,80.1471964,
1.4473218,2.0394213,1.3100831,9.2567829,70.0190629,
6.5658294,1.1793941,3.3929176,1.4212285,121.1624994,
2.1909991,6.3500000,2.0000000,1.2714422,141.2021985,
4.6247667,0.5621598,1.2371703,4.2387127,82.2026796,
4.3024112,0.9749227,0.2033729,8.8523133,32.9235444,
0.8847195,8.9367999,0.9886050,9.6165377,69.4698630,
6.9992515,7.7102720,0.7829964,9.1421334,35.8276040,
2.5406378,4.4213828,9.7984991,1.8339634,200.9279572,
4.6115615,4.2232705,4.9187791,1.4311663,146.6165927,
6.0000000,5.0432618,2.0000000,6.9738641,57.9471470,
9.1187405,6.8022513,3.3900952,4.4821843,72.6609081,
1.1563126,1.4916439,4.1782868,4.4307169,158.3444112,
3.1917819,5.6641664,4.4139395,8.5211548,82.7928375,
7.7495145,1.5574783,6.5642653,3.6247804,124.6960007,
3.1666939,5.8760335,3.4398747,7.7730569,78.8368288,
8.5257836,6.8553814,1.0301320,5.6482704,45.7697894,
7.8617411,3.4614660,9.7506372,6.2300547,112.1788664,
1.2744736,5.1142606,1.8006445,6.1527700,91.8810842,
2.7347799,1.0326597,8.3424667,1.5706416,206.4513172,
5.1034356,1.1831990,8.7548511,3.8475043,158.1392572,
3.3815200,7.6001987,4.5157364,7.0793325,86.9914315,
9.7668587,9.0655269,9.8143857,4.8017153,99.8196526,
7.0842830,5.7228788,3.5899827,9.8591335,58.4947182,
4.2834211,9.6792531,3.0476027,9.1074442,62.9919493,
1.5203934,2.1243177,0.7266973,5.8218861,68.1800084,
0.6936551,8.0373816,6.5613784,9.0298421,128.0287841,
3.3083484,8.0515282,1.0026286,8.4391997,49.1347289,
2.8910502,6.6364613,2.5057642,4.4699237,90.9822085,
0.2539471,7.1565721,1.6927661,6.7805188,131.4437677,
1.5375293,8.9313532,1.3988757,4.2003257,93.2830668,
2.6928520,2.3626131,2.6360965,4.4340225,102.4172640,
3.7598665,9.2378272,0.4950923,6.4609010,42.9166712,
9.2421116,6.3500000,2.0000000,9.2017745,45.2601624,
6.0000000,4.6258250,2.0000000,7.0912637,58.0343164,
0.2267530,0.4099467,4.0453344,6.5061711,235.2473414,
4.3948888,6.2220336,8.1806847,8.0487028,97.2672330,
0.7416712,6.3500000,2.0000000,7.5171939,100.7438678,
3.8847883,8.3539476,8.0275567,7.2510644,100.3320392,
7.3929399,9.8668294,3.1350584,9.6657365,52.7716547,
9.8438241,4.4668336,3.6564556,8.0500566,61.7455678,
4.9390889,0.4263264,8.1876480,9.3340203,180.0933057,
9.5993375,3.8852140,3.9593550,4.7425320,79.6962678,
1.4502316,8.4661771,6.3591904,1.1954112,224.4195413,
5.1155208,2.3562039,0.8327668,2.9625970,66.2765999,
2.1358930,8.9151625,3.7450915,5.9599954,99.5363957,
2.8589801,6.3500000,2.0000000,7.8489380,66.9241320,
8.5999755,9.2481061,2.3434366,6.5162295,54.6692510,
7.5207399,0.5196630,6.8996633,1.4227287,150.4372644,
6.5633678,4.8942707,9.2111582,5.3462746,112.9406538,
9.0536102,8.6856045,8.2876708,7.6887864,79.7147673,
7.7097358,1.2167230,6.4294871,9.8322693,101.4442081,
7.8386190,4.0914317,8.8565181,7.8955033,96.0206246,
5.0126112,6.3500000,2.0000000,1.8795567,97.4978937,
2.8524782,7.5876953,8.0773926,9.2901545,98.4144769,
0.2275916,2.0305376,6.8282030,2.3089944,291.4736297,
9.7440010,1.9390297,8.2825572,7.7000462,104.6026367,
